,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
2528,slave,4,1.35969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2548,slave,4,1.3695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2568,slave,4,1.37758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2588,slave,4,1.38992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2608,slave,4,1.39801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2628,slave,4,1.40976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2648,slave,4,1.41733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2668,slave,4,1.42841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2688,slave,4,1.43934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2708,slave,4,1.44657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2728,slave,4,1.45722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2748,slave,4,1.46753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2768,slave,4,1.4775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2788,slave,4,1.48725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2808,slave,4,1.49685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2828,slave,4,1.50937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2848,slave,4,1.5185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2868,slave,4,1.52738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2888,slave,4,1.53898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2908,slave,4,1.54757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2928,slave,4,1.55887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2948,slave,4,1.56988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2968,slave,4,1.57794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2988,slave,4,1.58846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3008,slave,4,1.59884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3028,slave,4,1.60908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3048,slave,4,1.61913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3068,slave,4,1.62891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3088,slave,4,1.63848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3108,slave,4,1.64791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3128,slave,4,1.65961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3148,slave,4,1.66884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3168,slave,4,1.67789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3188,slave,4,1.6889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3208,slave,4,1.69969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3228,slave,4,1.70825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3248,slave,4,1.71888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3268,slave,4,1.72936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3288,slave,4,1.73962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
